pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,5,0,20,0,,,,,76.1179986000061,77.11751809995621,77.11751809995621,77.11751809995621,77.11751809995621,77.11751809995621,78.11742429994047,78.11742429994047,x,1,0.2920532999560237,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,5,1,21,1,,,,,78.43421159987338,79.43352359998971,79.43352359998971,79.43352359998971,79.43352359998971,79.43352359998971,80.43319160002284,80.43319160002284,v,1,0.42037960002198815,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,5,2,22,2,,,,,80.8831632998772,81.8828333998099,81.8828333998099,81.8828333998099,81.8828333998099,81.8828333998099,82.88252669991925,82.88252669991925,c,1,0.3228959001135081,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,5,3,23,3,,,,,83.23267429997213,84.23195779998787,84.23195779998787,84.23195779998787,84.23195779998787,84.23195779998787,85.23133450001478,85.23133450001478,z,1,0.3837085999548435,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,6,0,24,0,,,,,85.63126059994102,86.6310983998701,86.6310983998701,86.6310983998701,86.6310983998701,86.6310983998701,87.63067789981142,87.63067789981142,x,1,0.3770840000361204,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,6,1,25,1,,,,,88.03079109988175,89.03043659985997,89.03043659985997,89.03043659985997,89.03043659985997,89.03043659985997,90.02986409980804,90.02986409980804,v,1,0.17590520018711686,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,6,2,26,2,,,,,90.22989339986816,91.22971929982305,91.22971929982305,91.22971929982305,91.22971929982305,91.22971929982305,92.22939509991556,92.22939509991556,c,1,0.6415681000798941,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,6,3,27,3,,,,,92.89576340001076,93.8953319999855,93.8953319999855,93.8953319999855,93.8953319999855,93.8953319999855,94.89502989989705,94.89502989989705,z,1,0.3454361001495272,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,7,0,28,0,,,,,95.26173219992779,96.26130559993908,96.26130559993908,96.26130559993908,96.26130559993908,96.26130559993908,97.26099139987491,97.26099139987491,x,1,0.7322964002378285,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,7,1,29,1,,,,,98.01040299981833,99.01010779989883,99.01010779989883,99.01010779989883,99.01010779989883,99.01010779989883,100.01004470000044,100.01004470000044,v,1,0.5783708000089973,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
